title,ingredients,directions,link,source,NER
Baked Barbecue,"[""1 lb. hamburger"", ""1/2 c. oatmeal"", ""1 c. catsup"", ""1 small can tomato sauce"", ""1 medium onion"", ""3/4 tsp. salt"", ""dash of pepper"", ""1 1/2 tsp. sugar""]","[""Bake"", ""at"", ""275\u00b0 uncovered 2 hours in shallow pan."", ""Serve on warm buns.""]",www.cookbooks.com/Recipe-Details.aspx?id=7622,Gathered,"['hamburger', 'oatmeal', 'catsup', 'tomato sauce', 'onion', 'salt', 'pepper', 'sugar']"
Six Layer Dinner,"[""3 c. sliced, peeled raw potatoes"", ""1 (17 oz.) can whole kernel corn, drained"", ""1 medium onion, sliced"", ""1 lb. ground beef"", ""1 c. sliced raw carrots"", ""1 1/2 tsp. salt"", ""1/8 tsp. black pepper"", ""1 (16 oz.) can tomatoes, cut up""]","[""Layer potatoes, corn, onion, meat and carrots in 3-quart casserole, seasoning each layer with salt and pepper."", ""Pour tomatoes over top."", ""Cover and bake at 350\u00b0 for 1 3/4 hours or until vegetables are done."", ""Makes 6 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=217086,Gathered,"['potatoes', 'whole kernel corn', 'onion', 'ground beef', 'carrots', 'salt', 'black pepper', 'tomatoes']"
Vanilla Wafer Cake,"[""2 sticks butter (do not substitute)"", ""2 c. granulated sugar"", ""6 eggs"", ""1/2 c. milk"", ""12 oz. box vanilla wafers, crushed"", ""7 oz. flaked coconut"", ""1 c. chopped pecans""]","[""Cream butter and sugar together until light and fluffy."", ""Add eggs, one at a time, beating well after each addition."", ""Add crushed wafers alternately with milk."", ""Add coconut and pecans and mix well. Pour into a 12 cup tube pan greased with nonstick spray."", ""Cook completely before removing from pan."", ""May be glazed with powdered sugar and topped with pecan halves and maraschino cherries. Freezes well.""]",www.cookbooks.com/Recipe-Details.aspx?id=119572,Gathered,"['butter', 'sugar', 'eggs', 'milk', 'vanilla wafers', 'flaked coconut', 'pecans']"
Sweet Potato Casserole,"[""3 eggs"", ""1 1/2 c. sugar"", ""1 stick softened butter"", ""1 small can crushed pineapple"", ""3 c. grated sweet potatoes""]","[""Combine eggs, sugar and butter in a bowl. Mix well. Stir in pineapple and sweet potatoes. Pour into greased casserole dish. Bake at 350\u00b0 for 40 minutes or until potatoes are tender.""]",www.cookbooks.com/Recipe-Details.aspx?id=24917,Gathered,"['eggs', 'sugar', 'butter', 'pineapple', 'grated sweet potatoes']"
Fettuccine Alfredo,"[""1/2 cup (1 stick) butter"", ""2 cups heavy cream"", ""1/8 tsp. garlic powder"", ""1/8 tsp. ground black pepper"", ""1 (12 oz.) box fettuccine pasta"", ""1/4 cup grated parmesan cheese""]","[""Melt the butter in a medium saucepan over medium heat."", ""Add the cream, garlic powder, and pepper and simmer for 10 - 12 minutes or until thick."", ""At the same time, bring 4 - 6 quarts of water to a boil and add the pasta.""]",www.cookbooks.com/Recipe-Details.aspx?id=38748,Gathered,"['butter', 'heavy cream', 'garlic powder', 'ground black pepper', 'pasta', 'parmesan cheese']"
Peach Pie,"[""1 pt. sour cream"", ""1/4 c. sugar"", ""1/4 tsp. vanilla"", ""1 large can sliced peaches, drained and diced"", ""1 graham cracker crust""]","[""Mix thoroughly sour cream, sugar and vanilla."", ""Add well-drained, diced peaches."", ""Pour into graham cracker crust. Bake at 325\u00b0 for 25 minutes."", ""Cool completely, then refrigerate.""]",www.cookbooks.com/Recipe-Details.aspx?id=482583,Gathered,"['sour cream', 'sugar', 'vanilla', 'peaches', 'graham cracker crust']"
Crabmeat Au Gratin,"[""1 can cream of shrimp soup"", ""1/2 can milk (use soup can)"", ""1 lb. faux crabmeat"", ""4 c. celery, chopped"", ""1/2 c. green pepper, chopped"", ""2 pimentos, chopped"", ""2 Tbsp. onions, chopped"", ""1/3 c. slivered almonds"", ""4 hard-cooked eggs, chopped"", ""1 c. shredded sharp Cheddar cheese"", ""buttered bread crumbs""]","[""Mix everything together, except cheese and crumbs, in casserole."", ""Top with cheese, then with bread crumbs."", ""Bake at 350\u00b0 for 35 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=286575,Gathered,"['cream of shrimp soup', 'milk', 'faux crabmeat', 'celery', 'green pepper', 'pimentos', 'onions', 'almonds', 'eggs', 'Cheddar cheese', 'buttered bread crumbs']"
Taco Casserole,"[""1 lb. ground chuck"", ""1 c. chopped onion"", ""1 (1.25 oz.) pkg. taco seasoning mix"", ""1 (16 oz.) jar salsa"", ""1 (10 oz.) can Mexicorn, drained"", ""1/4 c. mayonnaise"", ""1/3 c. sour cream"", ""2 c. crushed tortilla chips, divided"", ""2 c. shredded Southwestern Blend cheese (Pepperjack, Cheddar, Monterey Jack)""]","[""Preheat oven to 350 degrees."", ""Combine ground chuck and onions in large skillet. Cook until meat is browned."", ""Drain excess grease. Add the taco seasoning, salsa, Mexicorn, mayonnaise, and sour cream."", ""Mix well and remove from heat. In a casserole dish (about 2 quart size), layer half of the meat mixture, chips and cheese. Repeat layers."", ""Bake for about 20 minutes or until bubbly.""]",www.cookbooks.com/Recipe-Details.aspx?id=100621,Gathered,"['ground chuck', 'onion', 'taco seasoning mix', 'salsa', 'Mexicorn', 'mayonnaise', 'sour cream', 'tortilla chips', 'cheese']"
Garden Macaroni Salad,"[""3/4 c. mayonnaise"", ""1/4 tsp. basil"", ""1 tsp. salt"", ""1 (8 oz.) pkg. elbow macaroni, cooked"", ""1 c. diced celery"", ""1/4 c. sliced radishes"", ""2 Tbsp. thinly sliced green onion"", ""2 medium tomatoes, diced"", ""1/4 c. diced green pepper (optional)""]","[""Stir together first 3 ingredients."", ""Add remaining ingredients; toss."", ""Cover and chill."", ""Makes 8 cups.""]",www.cookbooks.com/Recipe-Details.aspx?id=1027781,Gathered,"['mayonnaise', 'basil', 'salt', 'elbow macaroni', 'celery', 'radishes', 'green onion', 'tomatoes', 'green pepper']"
Tuna-Ripe Olive Loaf,"[""1 c. cracker crumbs"", ""1 1/2 c. milk"", ""3 eggs, slightly beaten"", ""2 (6 1/2 or 7 oz.) cans tuna"", ""1/2 c. ripe olives, chopped"", ""dash of black pepper"", ""1 (12 oz.) can whole kernel corn, drained""]","[""Combine crumbs, milk and heat to boiling."", ""Cook, stirring constantly about 1 minute."", ""Remove from heat; add small amount of eggs and mix well."", ""Stir into balance of hot mixture."", ""Add remaining ingredients."", ""Mix well."", ""Pour into greased 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan."", ""Place in shallow pan of hot water (approximately 1-inch deep)."", ""Bake at 375\u00b0 for 1 hour."", ""Serve hot with sliced ripe olives."", ""Makes 6 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=277538,Gathered,"['cracker crumbs', 'milk', 'eggs', 'tuna', 'ripe olives', 'black pepper', 'whole kernel corn']"
Ham And Potato Casserole,"[""5 to 7 potatoes, peeled and sliced"", ""1 1/2 c. ham, diced"", ""1/2 c. chopped onion"", ""1/2 c. chopped green pepper"", ""1 can cream of mushroom soup"", ""1/2 can water"", ""salt and pepper to taste""]","[""Mix together all ingredients."", ""Put in a covered casserole dish and bake for 1 hour at 375\u00b0."", ""Remove cover last 10 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=505612,Gathered,"['potatoes', 'ham', 'onion', 'green pepper', 'cream of mushroom soup', 'water', 'salt']"
Stuart'S Hot Dog Chili,"[""13 ground hot dogs"", ""2 Tbsp. chili powder"", ""1 (16 oz.) can tomato sauce"", ""4 c. water"", ""1 qt. sliced onions (about 7 medium)"", ""1/2 Tbsp. red pepper"", ""4 c. Corn Flakes"", ""1 lb. hamburger (not cooked)""]","[""Combine all ingredients and cook on moderate heat until done. Stir often.""]",www.cookbooks.com/Recipe-Details.aspx?id=108977,Gathered,"['chili powder', 'tomato sauce', 'water', 'onions', 'red pepper', 'Corn Flakes', 'hamburger']"
Vichyssoise,"[""3/4 lb. leeks, well washed, halved lengthwise and thinly sliced"", ""1 medium onion, chopped"", ""2 Tbsp. butter"", ""2 large potatoes, peeled and diced"", ""3 c. chicken stock"", ""salt to taste"", ""2 c. light cream"", ""dash of Tabasco sauce"", ""1 c. plain yogurt"", ""chopped chives""]","[""Heat leeks and onion in butter in large skillet until transparent; do not brown."", ""Add potatoes, stock and salt; simmer until potatoes are tender, about 30 minutes."", ""Pour into blender; puree."", ""Stir in cream and Tabasco."", ""Strain through sieve (this is optional; I do not strain); chill."", ""Just before serving, stir in yogurt; re-adjust seasoning."", ""Serve very cold; garnish with chives."", ""Serves 6.""]",www.cookbooks.com/Recipe-Details.aspx?id=996898,Gathered,"['leeks', 'onion', 'butter', 'potatoes', 'chicken stock', 'salt', 'light cream', 'Tabasco sauce', 'plain yogurt', 'chives']"
Blossom Time Cake,"[""1 (1 oz.) sq. unsweetened chocolate"", ""1/4 tsp. soda"", ""3 3/4 c. sifted cake flour"", ""1 tsp. salt"", ""5 tsp. baking powder"", ""2 1/2 c. sugar, divided"", ""3/4 c. shortening"", ""1 2/3 c. milk, divided"", ""1 1/2 tsp. almond extract"", ""3/4 c. egg whites (about 6 eggs)"", ""1/8 tsp. red food coloring""]","[""Melt, then cool, the chocolate."", ""Blend in the soda; set aside while you make cake.""]",www.cookbooks.com/Recipe-Details.aspx?id=720898,Gathered,"['unsweetened chocolate', 'soda', 'cake flour', 'salt', 'baking powder', 'sugar', 'shortening', 'milk', 'almond extract', 'egg whites', 'red food coloring']"
Strawberry-Yogurt Drink,"[""1 c. unsweetened fresh or frozen strawberries"", ""1 c. buttermilk"", ""8 oz. plain yogurt"", ""1 large banana, cut up"", ""8 ice cubes""]","[""If frozen, thaw strawberries."", ""In blender, combine buttermilk, yogurt, banana, ice cubes and strawberries."", ""Cover and blend until smooth."", ""Makes 4 servings at 93 calories each.""]",www.cookbooks.com/Recipe-Details.aspx?id=174451,Gathered,"['frozen strawberries', 'buttermilk', 'plain yogurt', 'banana', 'cubes']"
Clinton Clamdigger,"[""1 1/4 oz. vodka"", ""2 oz. tomato juice"", ""1 oz. clam juice"", ""dash of Tabasco sauce"", ""dash of Worcestershire sauce"", ""dash of pepper""]","[""Combine in mixing glass, stirring well."", ""Add ice and strain into old-fashioned glass."", ""Rim glass with lemon peel and throw in peel.""]",www.cookbooks.com/Recipe-Details.aspx?id=167437,Gathered,"['vodka', 'tomato juice', 'clam juice', 'Tabasco sauce', 'Worcestershire sauce', 'pepper']"
Green Beans Marinated,"[""2 cans beans (qt.)"", ""4 Tbsp. brown sugar"", ""4 Tbsp. bacon grease"", ""2 Tbsp. prepared mustard"", ""4 Tbsp. vinegar"", ""6 to 8 strips crisply fried bacon"", ""1/2 c. water from the beans""]","[""Fry bacon."", ""Remove from grease."", ""Pour off grease, leaving at least 4 tablespoons."", ""Add sugar, mustard, vinegar and water."", ""Heat until dissolved."", ""Add beans."", ""Cook about 5 minutes."", ""Serve at room temperature."", ""Crumble bacon over top of beans when ready to serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=648404,Gathered,"['beans', 'brown sugar', 'bacon grease', 'mustard', 'vinegar', 'bacon', 'water']"
Easy Fruit Dip,"[""1 (8 oz.) pkg. cream cheese"", ""1 (8 oz.) jar Marshmallow Creme""]","[""Mix on low speed until blended."", ""May be served with sliced apples, strawberries, grapes or fruit of your choice."", ""Makes a good appetizer or party dish.""]",www.cookbooks.com/Recipe-Details.aspx?id=631117,Gathered,"['cream cheese', 'Marshmallow Creme']"
Four-Inch Cheese Ball,"[""2 c. shredded Cheddar cheese"", ""3 Tbsp. salad dressing"", ""1/2 tsp. Worcestershire sauce"", ""dash of onion, garlic and celery salts"", ""1 (3 oz.) pkg. cream cheese"", ""1/4 c. chopped ripe olives""]","[""In a medium bowl, combine all ingredients, except olives."", ""Mix well; stir in olives."", ""Cover and chill until firm."", ""Shape into a ball."", ""Roll cheese ball in chopped nuts."", ""Chill until firm."", ""Serve with assorted crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=462403,Gathered,"['Cheddar cheese', 'salad dressing', 'Worcestershire sauce', 'onion', 'cream cheese', 'chopped ripe olives']"
Broccoli Bake,"[""2 pkg. frozen broccoli (10 oz. each)"", ""1 can golden mushroom soup"", ""4 oz. shredded Cheddar cheese"", ""2 eggs (optional)"", ""1/2 c. mayonnaise"", ""bread crumbs""]","[""Cook and drain broccoli."", ""Place in shallow baking dish."", ""Mix together soup, eggs and mayonnaise."", ""Pour over broccoli and sprinkle bread crumbs on top."", ""Bake.""]",www.cookbooks.com/Recipe-Details.aspx?id=954858,Gathered,"['frozen broccoli', 'golden mushroom soup', 'Cheddar cheese', 'eggs', 'mayonnaise', 'bread crumbs']"
Corn Pudding,"[""3 eggs, beaten"", ""2 cans cream-style corn"", ""1/2 c. sugar"", ""1/3 c. flour (all-purpose)"", ""1 c. milk"", ""2 Tbsp. melted butter"", ""dash of salt and pepper""]","[""Mix flour and milk together first and make smooth paste like. Then put all ingredients together into a (greased) large casserole."", ""Mix and blend well."", ""Bake at 350\u00b0 for 1 hour and 15 minutes, stirring once after about 25 to 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=736201,Gathered,"['eggs', 'cream-style', 'sugar', 'flour', 'milk', 'butter', 'salt']"
Jackson'S Vanilla Wafer Cake,"[""1 1/2 c. sugar"", ""1/2 c. milk"", ""1 1/2 sticks margarine"", ""10 1/2 oz. vanilla wafers, crushed"", ""6 large eggs"", ""7 oz. Angel Flake coconut"", ""2 c. pecans""]","[""Put finely crushed vanilla wafer crumbs, coconut and pecans in large mixing pan."", ""Mix well."", ""Cream sugar and margarine, then add eggs, beating after each addition."", ""Add milk."", ""Pour this mixture into dry ingredients and mix well."", ""Bake in greased and floured tube pan."", ""Bake 1 hour in middle of oven at 325\u00b0."", ""Cool 15 minutes before removing from pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=583225,Gathered,"['sugar', 'milk', 'margarine', 'vanilla wafers', 'eggs', 'Angel', 'pecans']"
Mom'S Pancakes,"[""1 c. sifted all-purpose flour"", ""2 tsp. baking powder"", ""1/2 tsp. salt"", ""2 Tbsp. sugar"", ""1 egg"", ""1 c. milk"", ""3 Tbsp. butter or margarine, melted""]","[""Sift flour with baking powder, salt and sugar into a medium bowl."", ""With rotary beater, beat egg."", ""Add milk and butter; beat until well mixed."", ""Pour this into dry ingredients; beat only until combined."", ""Batter will be lumpy.""]",www.cookbooks.com/Recipe-Details.aspx?id=440419,Gathered,"['flour', 'baking powder', 'salt', 'sugar', 'egg', 'milk', 'butter']"
60 Minute Southern Rolls,"[""3 1/2 c. flour"", ""1 Tbsp. sugar"", ""1 tsp. salt"", ""1/2 tsp. baking soda"", ""1 pkg. yeast"", ""1 c. buttermilk"", ""1/4 c. water"", ""2 Tbsp. margarine"", ""additional flour for dusting""]","[""Set aside 1 cup flour."", ""In bowl mix remaining flour, sugar, salt, soda and yeast."", ""Heat buttermilk, water and margarine to 125\u00b0 to 130\u00b0."", ""Stir into dry ingredient mixture."", ""Mix in enough reserved flour to make soft dough."", ""Knead 3 minutes."", ""Press evenly in greased 9 x 9 x 2-inch pan."", ""Dust top with flour."", ""With sharp knife, score dough into 16 rolls; cover."", ""Let rise 20 minutes, then bake 20 to 25 minutes in a 350\u00b0 oven."", ""Remove from oven and break into rolls."", ""Serve warm.""]",www.cookbooks.com/Recipe-Details.aspx?id=997595,Gathered,"['flour', 'sugar', 'salt', 'baking soda', 'yeast', 'buttermilk', 'water', 'margarine', 'dusting']"
Hungarian Gulya'S,"[""1 lb. beef chuck"", ""1 Tbsp. salt"", ""1 medium onion"", ""2 Tbsp. oil"", ""1 tsp. paprika"", ""3 carrots"", ""2 tsp. parsley"", ""1 qt. water"", ""4 medium potatoes"", ""1/4 tsp. black pepper""]","[""Cut beef into 1-inch squares."", ""Add 1 1/2 teaspoons salt."", ""Chop the onion fine and brown in oil."", ""Add beef and paprika."", ""Let beef simmer in its own juice for 1 hour."", ""Add sliced carrots and chopped parsley."", ""Simmer for 1/2 hour."", ""Add water, diced potatoes and remaining 1 1/2 teaspoons salt."", ""Simmer until potatoes are done; add black pepper.""]",www.cookbooks.com/Recipe-Details.aspx?id=999504,Gathered,"['beef chuck', 'salt', 'onion', 'oil', 'paprika', 'carrots', 'parsley', 'water', 'potatoes', 'black pepper']"
Chocolate Mint Bars,"[""1 c. flour"", ""1 c. sugar"", ""1/2 c. oleo, softened"", ""4 eggs"", ""1 can chocolate syrup""]","[""Mix together and bake in 9 x 13-inch pan at 350\u00b0 for 25 to 30 minutes."", ""Top should spring back when touched lightly; do not overbake."", ""Cool completely, then spread with mint layer.""]",www.cookbooks.com/Recipe-Details.aspx?id=590883,Gathered,"['flour', 'sugar', 'oleo', 'eggs', 'chocolate syrup']"
Chicken Curry(Recipe From India)  ,"[""1/2 c. chopped onion"", ""1/2 c. chopped celery"", ""1/4 c. butter"", ""1/3 c. flour"", ""2 c. chicken broth"", ""1 c. tomato juice"", ""1/2 tsp. Worcestershire sauce"", ""salt"", ""pepper"", ""4 tsp. curry powder"", ""4 c. diced chicken"", ""5 c. hot, cooked rice""]","[""Brown onion and celery in butter."", ""Add flour and blend."", ""Add chicken broth; cook until thick, stirring constantly."", ""Add tomato juice, Worcestershire sauce, seasonings and chicken."", ""Heat thoroughly."", ""Serve over the cooked rice."", ""Serves 8.""]",www.cookbooks.com/Recipe-Details.aspx?id=1060628,Gathered,"['onion', 'celery', 'butter', 'flour', 'chicken broth', 'tomato juice', 'Worcestershire sauce', 'salt', 'pepper', 'curry powder', 'chicken', 'rice']"
Tacocitos,"[""2 lb. ground beef"", ""1/2 onion, chopped"", ""1 ppkg. Old El Paso taco seasoning"", ""1/4 c. margarine"", ""1 can enchilada sauce"", ""1/4 c. flour"", ""2 c. milk"", ""1/8 tsp. paprika"", ""1 3/4 c. shredded cheese"", ""flour tortillas""]","[""Mix maseca flour with milk to make a nice dough."", ""Add salt. Form balls."", ""Flatten with tortilla press."", ""Drop spoonful of mashed beans, seasoned to your taste."", ""(Can add any meat you have on hand, chopped.)"", ""Fold tortilla over and close all around."", ""Fry in lard. Eat with hot sauce."", ""(You'll need to make a big batch - they're good.)"", ""You can substitute cottage cheese, seasoned, and mixed with an egg, instead of beans and meat.""]",www.cookbooks.com/Recipe-Details.aspx?id=22445,Gathered,"['ground beef', 'onion', 'taco', 'margarine', 'enchilada sauce', 'flour', 'milk', 'paprika', 'shredded cheese', 'flour tortillas']"
Hamburger Casserole,"[""2 lb. hamburger"", ""1 c. chopped onion"", ""1/2 large green pepper, chopped"", ""1/2 tsp. garlic salt to taste"", ""2 cans tomato sauce"", ""2 Tbsp. catsup"", ""small amount sugar"", ""1 small pkg. egg noodles"", ""1 (8 oz.) pkg. cream cheese""]","[""Cook beef, onion"", ""and"", ""green"", ""pepper together."", ""Salt to taste with garlic salt."", ""Add"", ""tomato"", ""sauce, catsup and sugar. Cook egg noodles as"", ""directed"", ""on package and drain."", ""Put half of the noodles on"", ""bottom of casserole; add half meat mixture. Dice cream cheese on top"", ""of meat."", ""Add other half of noodles, top with last half of"", ""meat mixture."", ""Cook in 350\u00b0 oven for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=528341,Gathered,"['hamburger', 'onion', 'green pepper', 'garlic salt', 'tomato sauce', 'catsup', 'amount sugar', 'egg noodles', 'cream cheese']"
Taco Salad,"[""1 lb. ground beef"", ""1 pkg. taco seasoning"", ""1 head lettuce"", ""1 white onion"", ""2 firm tomatoes"", ""8 oz. Cheddar cheese, grated"", ""9 oz. tortilla chips"", ""Catalina dressing""]","[""Cook beef with taco seasoning according to directions."", ""Shred head of lettuce into large bowl; add chopped onion and tomatoes. Add meat, when cool, and grated cheese."", ""Crush tortilla chips and add just before serving."", ""Add Catalina dressing to taste.""]",www.cookbooks.com/Recipe-Details.aspx?id=387985,Gathered,"['ground beef', 'taco seasoning', 'head lettuce', 'white onion', 'tomatoes', 'Cheddar cheese', 'tortilla chips', 'dressing']"
Old-Fashioned Sweet-Sour Cole Slaw,"[""1 1/2 lb. shredded green cabbage"", ""1 tsp. salt"", ""2/3 c. sugar"", ""1/3 c. cider vinegar"", ""1 c. whipping cream (do not whip)""]","[""Place shredded cabbage in covered dish in refrigerator for several hours. Mix ingredients in order given 30 minutes before serving. Chill and serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=141485,Gathered,"['shredded green cabbage', 'salt', 'sugar', 'cider vinegar', 'whipping cream']"
Low Calorie Cole Slaw,"[""1 medium cabbage, shredded"", ""1 large carrot, grated"", ""sweetener to equal 10 tsp. sugar"", ""1 tsp. salt"", ""1 tsp. celery seed"", ""2 Tbsp. vinegar"", ""1/2 c. plus 2 Tbsp. plus 2 tsp. reduced-calorie mayonnaise""]","[""Place cabbage and carrot in a large bowl."", ""Sprinkle with sweetener, salt and celery seed on top."", ""Let stand 5 minutes."", ""Mix vinegar and mayonnaise together."", ""Spoon over cabbage."", ""Toss to blend."", ""Chill several hours and toss occasionally."", ""Makes 8 servings."", ""Equals 1 vegetable and 2 fats.""]",www.cookbooks.com/Recipe-Details.aspx?id=612977,Gathered,"['cabbage', 'carrot', 'sugar', 'salt', 'celery', 'vinegar', 'mayonnaise']"
Schoolhouse Peanut Butter Cookies,"[""1 c. brown sugar"", ""1 c. white sugar"", ""1/4 c. peanut butter"", ""2 eggs"", ""1 1/4 c. plain flour"", ""1/2 tsp. soda"", ""1/8 tsp. salt"", ""1/3 c. sweet milk"", ""1 tsp. vanilla""]","[""Combine"", ""sugars"", ""and margarine."", ""Add peanut butter; mix thoroughly."", ""Add"", ""eggs"", ""and mix well."", ""Combine flour, soda and salt."", ""Add"", ""alternately"", ""with"", ""milk, beginning with flour mixture. Add"", ""vanilla"", ""and mix well."", ""Drop a heaping teaspoonful for"", ""each cookie"", ""3"", ""inches apart on a lightly greased cookie sheet."", ""Bake at 350\u00b0 for 15 minutes."", ""Remove from oven and let cool"", ""before removing from pan."", ""Do not put in container hot. Let cool."", ""Makes 18 to 24 cookies.""]",www.cookbooks.com/Recipe-Details.aspx?id=767309,Gathered,"['brown sugar', 'white sugar', 'peanut butter', 'eggs', 'flour', 'soda', 'salt', 'sweet milk', 'vanilla']"
Peanut Butter Pie,"[""1 (3 oz.) pkg. cream cheese"", ""1 (9 oz.) Cool Whip"", ""1 c. crunchy peanut butter"", ""1/2 c. milk"", ""1 c. confectioners sugar"", ""1 (9-inch) graham cracker crust""]","[""Beat cheese until smooth."", ""Add sugar and peanut butter. Slowly add"", ""milk.\tFold"", ""in"", ""Cool\tWhip."", ""Add 1 cup semi-sweet chocolate morsels."", ""Pour all into crust."", ""Freeze until firm.""]",www.cookbooks.com/Recipe-Details.aspx?id=734561,Gathered,"['cream cheese', 'crunchy peanut butter', 'milk', 'confectioners sugar', 'graham cracker crust']"
Chicken Enchiladas,"[""1 c. onion"", ""1/2 c. green pepper"", ""2 Tbsp. margarine"", ""2 c. cooked chicken"", ""1 (4 oz.) can green chili peppers, minced"", ""1 c. sour cream"", ""12 tortillas"", ""3 more Tbsp. margarine"", ""1/4 c. flour"", ""2 1/2 c. chicken stock"", ""1 1/2 c. Monterey Jack cheese"", ""1/2 c. Cheddar cheese""]","[""Preheat oven to 350\u00b0."", ""Cook onion and green pepper in margarine."", ""Add green chili peppers and diced, cooked chicken.""]",www.cookbooks.com/Recipe-Details.aspx?id=828850,Gathered,"['onion', 'green pepper', 'margarine', 'chicken', 'green chili peppers', 'sour cream', 'tortillas', 'margarine', 'flour', 'chicken stock', 'cheese', 'Cheddar cheese']"
Protein-Plus Muffins,"[""1 1/4 c. soy flour"", ""2/3 c. nonfat dry milk"", ""2 Tbsp. baking soda"", ""1/2 tsp. salt"", ""1/2 c. chopped pitted dates"", ""1/4 c. chopped walnuts"", ""2 slightly beaten eggs"", ""1 tsp. orange peel, grated"", ""3/4 c. orange juice"", ""2 Tbsp. honey"", ""2 Tbsp. cooking oil""]","[""Preheat oven to"", ""350\u00b0.\tIn"", ""mixing"", ""bowl,"", ""stir the soy flour, nonfat dry milk powder, baking powder and salt together thoroughly."", ""Stir"", ""in"", ""the\tchopped dates and chopped walnuts. Combine"", ""the eggs, grated orange peel, orange juice, honey and cooking"", ""oil."", ""Stir"", ""the"", ""egg mixture into the dry ingredients just"", ""until"", ""moistened."", ""Fill"", ""greased"", ""muffin"", ""cups 2/3 full. Bake at 350\u00b0 until done, about 30 minutes.\tMakes 12 muffins.""]",www.cookbooks.com/Recipe-Details.aspx?id=1006749,Gathered,"['soy flour', 'nonfat dry milk', 'baking soda', 'salt', 'dates', 'walnuts', 'eggs', 'orange peel', 'orange juice', 'honey', 'cooking oil']"
Watermelon Rind Pickles,"[""melon with thick rind"", ""1 gal. water"", ""2 heaping Tbsp. lime"", ""2 or more tsp. ginger"", ""boiling water"", ""2 c. vinegar"", ""4 c. sugar"", ""1 Tbsp. spice"", ""1 Tbsp. cloves"", ""4 sticks cinnamon""]","[""Make solution of water and lime dissolved in it."", ""Let stand overnight."", ""Next morning take out and wash in clear water. Prepare a ginger tea."", ""Cook rind until it begins to look clear. Prepare syrup."", ""Drop rind in the syrup, having enough to cover rind well."", ""Boil until rind becomes a pretty amber color."", ""Fill jars and seal.""]",www.cookbooks.com/Recipe-Details.aspx?id=873981,Gathered,"['thick rind', 'water', 'lime', 'ginger', 'boiling water', 'vinegar', 'sugar', 'spice', 'cloves', 'cinnamon']"
No Bake Persimmon Pudding,"[""1 c. persimmon pulp"", ""1 c. powdered sugar"", ""2 c. graham cracker crumbs"", ""1/2 c. peanuts, chopped"", ""1/2 c. miniature marshmallows"", ""whipped cream""]","[""Mix pulp, sugar, peanuts and marshmallows."", ""Add graham cracker crumbs."", ""Shape into roll, adding more crumbs, if needed, to retain shape."", ""Chill thoroughly."", ""Serve with whipped cream.""]",www.cookbooks.com/Recipe-Details.aspx?id=387528,Gathered,"['persimmon pulp', 'powdered sugar', 'graham cracker crumbs', 'peanuts', 'marshmallows', 'whipped cream']"
Cereal Mix,"[""1 box Fiber One cereal"", ""1 box Kashi Honey Puffed cereal"", ""1 box Kashi Medley cereal"", ""1 box Kashi Go Lean cereal"", ""1 box Protein Plus cereal"", ""1 1/2 c. Nestle's semi-sweet mini morsels"", ""1 1/2 c. Nestle's butterscotch morsels""]","[""Mix together and store in airtight containers. Serving size: 1 cup.""]",www.cookbooks.com/Recipe-Details.aspx?id=47602,Gathered,"['Fiber', 'Honey Puffed cereal', 'Medley cereal', 'cereal', 'cereal', 'morsels', 'morsels']"
Potatoes Romanoff,"[""1 pkg. frozen hash browns"", ""1 small onion"", ""2 Tbsp. oleo"", ""1 can cream of chicken soup"", ""1 can Cheddar cheese soup"", ""1/2 tsp. salt"", ""1/4 tsp. pepper"", ""1 c. sour cream"", ""1 (13 oz.) can evaporated milk (not diluted)"", ""1/2 c. crushed cornflakes"", ""1/2 c. margarine""]","[""Thaw potatoes; spread over 9 x 12-inch baking dish."", ""Top with cornflakes and margarine."", ""In saucepan, saute onion in 2 tablespoons oleo."", ""Stir in soups, milk, sour cream, salt and pepper."", ""Bake for 50 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=330730,Gathered,"['frozen hash browns', 'onion', 'oleo', 'cream of chicken soup', 'Cheddar cheese soup', 'salt', 'pepper', 'sour cream', 'milk', 'cornflakes', 'margarine']"
